Date,Country,Confirmed,Deaths,Recovered,Active
2021-01-03,Italy,52793,1369,37895,13529
2021-01-04,Italy,54316,1370,40599,12347
2021-01-05,Italy,56700,1483,43268,11949
2021-01-06,Italy,58684,1500,44507,12677
2021-01-07,Italy,60524,1629,43311,15584
2021-01-08,Italy,63506,1593,48236,13677
2021-01-09,Italy,65961,1780,47405,16776
2021-01-10,Italy,68552,1846,50807,15899
2021-01-11,Italy,71369,1883,52650,16836
2021-01-12,Italy,74299,1944,56471,15884
2021-01-13,Italy,76311,1950,58188,16173
2021-01-14,Italy,79925,2070,59624,18231
2021-01-15,Italy,82535,2094,60926,19515
2021-01-16,Italy,85380,2234,61378,21768
2021-01-17,Italy,89596,2416,67188,19992
2021-01-18,Italy,93078,2384,70338,20356
2021-01-19,Italy,97027,2457,73793,20777
2021-01-20,Italy,101465,2729,76229,22507
2021-01-21,Italy,105596,2728,80425,22443
2021-01-22,Italy,110536,2773,79178,28585
2021-01-23,Italy,114408,3045,87449,23914
2021-01-24,Italy,117795,3084,86466,28245
2021-01-25,Italy,123599,3298,93554,26747
2021-01-26,Italy,128202,3311,93416,31475
2021-01-27,Italy,131708,3520,99524,28664
2021-01-28,Italy,138292,3732,102719,31841
2021-01-29,Italy,144439,3883,109409,31147
2021-01-30,Italy,149051,3860,107534,37657
